#{"t_start": 1713106215.168335, "env_id": null}
r,l,t
-731.121953,1428,2521.573585
600.840042,1428,2525.449632
191.058932,1428,2529.32864
-362.068811,1428,2533.237281
98.464164,1428,2537.074452
-341.724438,1428,2540.881061
-217.48591,1428,2544.579571
-109.899717,1428,2548.482579
906.421415,1428,2552.281721
-479.752377,1428,2556.06915
742.717647,1428,2559.870257
1426.979468,1428,2563.693753
-28.098636,1428,2567.582113
467.522667,1428,2571.435545
-1139.432487,1428,2575.37737
2720.136881,1428,2579.190163
-213.654038,1428,2582.929383
1274.837543,1428,2586.775734
-658.714498,1428,2590.528034
-915.603848,1428,2594.207977
-140.460132,1428,2597.981367
655.587555,1428,2601.763532
5.121082,1428,2605.562379
-703.7815,1428,2609.31642
-62.944963,1428,2613.185737
-123.119204,1428,2617.047404
94.482972,1428,2620.884913
-1372.358715,1428,2624.761731
505.963342,1428,2628.597505
-149.927179,1428,2632.422313
-95.319026,1428,2636.211408
-250.538203,1428,2639.977628
-110.785414,1428,2643.877152
-501.619668,1428,2647.683063
-330.549796,1428,2651.446285
-367.670989,1428,2655.293128
-278.773192,1428,2659.195563
-321.510831,1428,2662.984453
-139.618866,1428,2666.710801
255.985144,1428,2670.548347
-348.394667,1428,2674.39746
-953.228337,1428,2678.182831
-335.106336,1428,2682.025127
-189.095471,1428,2685.867948
-565.076349,1428,2689.629035
-204.736236,1428,2693.37935
-309.093215,1428,2697.157155
-470.757563,1428,2700.973437
-284.951215,1428,2704.73761
1973.919102,1428,2708.543658
1613.100727,1428,2712.322853
-36.538621,1428,2716.126006
-361.007417,1428,2719.963252
-426.358427,1428,2723.901685
-385.287598,1428,2727.635938
-39.332757,1428,2731.464408
-125.584072,1428,2735.23236
-310.94049,1428,2739.1046
1543.750704,1428,2742.913402
33.228966,1428,2746.646626
-191.123016,1428,2750.418723
247.311438,1428,2754.189891
-406.524439,1428,2758.02522
-470.998696,1428,2761.76902
-227.104121,1428,2765.628789
670.940187,1428,2769.413075
-104.152469,1428,2773.243796
172.738691,1428,2777.040716
801.751877,1428,2780.822906
-511.731548,1428,2784.623953
159.168403,1428,2788.386463
-417.472559,1428,2792.227937
-304.681122,1428,2796.016413
-590.610176,1428,2799.875028
-263.442779,1428,2803.750708
-522.664979,1428,2807.638962
1485.286539,1428,2811.54273
69.804415,1428,2815.447271
545.403588,1428,2819.258158
211.74921,1428,2823.063985
24.873811,1428,2826.884408
-391.58236,1428,2830.690723
1468.741909,1428,2834.534412
377.290063,1428,2838.382592
1757.533378,1428,2842.284613
-723.4145,1428,2846.070804
1423.216237,1428,2849.829123
3295.634453,1428,2853.664484
-162.284629,1428,2857.521504
-406.504836,1428,2861.445088
599.805373,1428,2865.28991
-278.88241,1428,2869.169148
-261.858156,1428,2872.981099
-244.806634,1428,2876.808663
-407.218805,1428,2880.583467
-361.387944,1428,2884.388046
1309.307732,1428,2888.230736
-241.365189,1428,2891.986573
-10.352087,1428,2895.845291
1358.473679,1428,2899.742824
4454.719791,1428,2903.594085
-346.940875,1428,2907.454401
-29.928396,1428,2911.298949
228.916975,1428,2915.13795
311.70114,1428,2918.995952
-417.086303,1428,2922.828216
-442.536198,1428,2926.707297
-283.659332,1428,2930.609308
379.99782,1428,2934.401441
-191.889479,1428,2938.212261
-66.720495,1428,2942.068193
1084.318099,1428,2946.011909
864.995957,1428,2949.87829
-356.458726,1428,2953.678199
358.355826,1428,2957.48441
1103.918252,1428,2961.309446
-1.859343,1428,2965.270017
-48.363624,1428,2969.08625
2255.279714,1428,2972.924871
-121.54556,1428,2976.756165
-175.277724,1428,2980.591694
-59.190593,1428,2984.48211
-551.668032,1428,2988.386345
