#{"t_start": 1713105789.0286548, "env_id": null}
r,l,t
7343.777357,7142,9225.613996
7606.635114,7142,9244.957446
10625.21954,7142,9264.444882
9949.769865,7142,9283.913297
11405.435608,7142,9303.353575
26.812497,7142,9323.409925
8207.134871,7142,9342.7108
10719.579691,7142,9361.952688
4378.533746,7142,9381.679388
9429.773207,7142,9401.236498
8000.763526,7142,9421.008583
10503.365839,7142,9440.559707
8153.611072,7142,9459.826668
9359.829223,7142,9479.209964
8519.804129,7142,9498.61753
5900.352631,7142,9518.279704
12086.951198,7142,9537.747422
10509.748603,7142,9557.27988
11350.854183,7142,9576.786985
11659.33751,7142,9596.040221
11764.183677,7142,9615.334913
10479.616941,7142,9635.179947
10215.768891,7142,9654.637994
7049.168555,7142,9674.623191
6899.040524,7142,9694.362352
8572.950254,7142,9713.48324
7026.605576,7142,9733.425006
13516.196837,7142,9752.860234
10560.719736,7142,9772.470084
7187.184476,7142,9792.204326
5346.75373,7142,9812.11402
8804.470552,7142,9831.477376
10524.087217,7142,9850.87018
11393.870989,7142,9870.397443
5476.933634,7142,9890.050758
5611.473976,7142,9909.83585
8260.316003,7142,9929.043246
9926.125641,7142,9948.502364
8442.576763,7142,9967.776086
10298.144877,7142,9987.098574
12484.112872,7142,10006.64455
10299.361807,7142,10026.172478
5530.833241,7142,10045.984396
11124.46638,7142,10065.345229
7757.894917,7142,10084.963395
10186.786507,7142,10104.27491
10733.268445,7142,10124.018852
12227.611178,7142,10143.683851
11630.447826,7142,10162.96184
10411.064739,7142,10182.804833
12442.064453,7142,10202.342855
9841.595475,7142,10221.510245
12381.151389,7142,10241.050943
8268.015308,7142,10260.894343
8461.25502,7142,10280.380723
7588.698679,7142,10300.246638
4347.454347,7142,10320.346038
11006.222221,7142,10339.803834
11103.506238,7142,10359.912091
11509.943474,7142,10379.194584
13878.818444,7142,10398.458485
10574.544541,7142,10417.807401
9140.541153,7142,10437.595495
10214.602665,7142,10456.869982
10829.297053,7142,10476.776522
11821.302998,7142,10496.268166
5641.935744,7142,10516.123161
12963.232713,7142,10535.272751
12514.698425,7142,10554.574488
9458.580379,7142,10574.216273
12290.488892,7142,10593.444623
11030.920122,7142,10612.864668
5864.381344,7142,10632.622916
4596.339276,7142,10652.621351
11157.456035,7142,10672.025965
7147.47883,7142,10691.617564
12096.373044,7142,10710.915674
4448.353287,7142,10730.450519
333.465153,7142,10750.456279
9849.440816,7142,10769.9471
10212.942836,7142,10789.37911
11207.988007,7142,10808.781135
9466.981721,7142,10828.154966
11730.693956,7142,10847.68263
9130.848435,7142,10866.772873
11529.709684,7142,10886.210875
13576.896226,7142,10905.684312
11028.303222,7142,10925.1234
10459.687975,7142,10944.483582
11772.517812,7142,10963.63906
12470.30083,7142,10983.112882
10697.210285,7142,11002.763073
10365.041289,7142,11022.516275
10996.864175,7142,11041.926485
10156.644976,7142,11061.162538
12041.328822,7142,11080.629677
11549.005828,7142,11100.053347
11925.394595,7142,11119.671344
11985.444307,7142,11138.993126
12607.362734,7142,11158.4951
12025.264681,7142,11177.830839
10758.751368,7142,11197.023456
10698.981922,7142,11216.891889
12049.042689,7142,11236.34256
12172.207902,7142,11255.908094
11026.579656,7142,11275.198732
10074.456888,7142,11294.744407
11514.348763,7142,11314.095917
1783.776729,7142,11333.729831
9377.704147,7142,11353.125498
11830.442348,7142,11372.538682
12388.722967,7142,11392.059606
9930.326492,7142,11411.432091
12028.666998,7142,11430.717694
10375.423859,7142,11450.322392
11404.820174,7142,11469.875378
9115.629625,7142,11489.321949
11589.168356,7142,11509.075862
11683.684275,7142,11528.562058
2682.264851,7142,11547.962429
10869.420086,7142,11567.301929
11936.954768,7142,11586.870356
10475.122845,7142,11606.015638
-7507.692873,7142,11625.649233
9274.523244,7142,11645.093542
5533.238989,7142,11664.910918
12397.530901,7142,11684.392645
9174.200727,7142,11703.733392
9393.138239,7142,11723.253671
9444.715547,7142,11743.050801
12957.145457,7142,11762.46846
9670.404812,7142,11782.03128
10543.141924,7142,11801.434919
12132.023618,7142,11821.31773
11133.550033,7142,11841.571466
4005.082942,7142,11861.492449
10839.997987,7142,11880.904966
12241.408527,7142,11900.385706
12128.715197,7142,11919.900798
12085.826942,7142,11939.185861
12307.599632,7142,11958.660061
9032.600446,7142,11977.991177
12114.2919,7142,11997.50295
12553.002681,7142,12016.874582
12529.229597,7142,12036.337595
8670.399924,7142,12056.221608
10604.641142,7142,12075.497098
11756.454678,7142,12094.876146
11625.498815,7142,12114.146257
9424.504414,7142,12133.667738
10437.72705,7142,12153.211559
10401.611474,7142,12172.620749
9659.722227,7142,12192.276784
11145.191034,7142,12211.525236
9923.365411,7142,12231.124669
12572.819439,7142,12250.661845
-2493.274689,7142,12270.783982
12530.308387,7142,12290.082023
7769.116809,7142,12309.862552
3819.854442,7142,12329.870531
9661.392003,7142,12349.625681
11918.435685,7142,12369.072655
12098.705688,7142,12388.325012
9149.486839,7142,12407.695317
10986.157978,7142,12427.413985
11792.898699,7142,12446.814937
9482.457,7142,12466.454755
11236.062847,7142,12485.801583
6917.648694,7142,12505.752636
10383.130159,7142,12525.098366
12578.298622,7142,12544.457045
12059.3656,7142,12564.086189
6814.830499,7142,12583.813321
6820.056687,7142,12603.872705
4301.927604,7142,12623.614889
12047.72653,7142,12643.082139
10905.706884,7142,12662.799994
13007.902289,7142,12682.333453
11734.175926,7142,12701.932806
11435.839372,7142,12721.209695
12080.522886,7142,12740.653421
12049.793867,7142,12760.13623
6759.299879,7142,12779.901278
12117.870854,7142,12799.461669
12615.797822,7142,12818.80527
10987.495632,7142,12838.413849
11045.833789,7142,12857.715549
12069.062098,7142,12877.203297
12138.215887,7142,12896.562939
11760.898037,7142,12915.978275
10576.297568,7142,12935.610207
10127.61705,7142,12954.8951
6084.959037,7142,12974.770343
9612.49309,7142,12994.542006
12083.949211,7142,13013.857296
12103.606787,7142,13033.321696
8165.55232,7142,13052.679884
7930.650854,7142,13072.155942
9719.88911,7142,13091.581522
5278.537919,7142,13111.380008
6945.312548,7142,13131.117327
11695.740964,7142,13150.358067
10735.963116,7142,13170.042485
8347.368009,7142,13189.929033
8023.023445,7142,13209.747114
12148.74824,7142,13229.046811
11560.999255,7142,13248.601268
12040.840496,7142,13268.0257
11956.053603,7142,13287.507504
-135.072032,7142,13307.491837
9986.968157,7142,13327.269241
7296.688015,7142,13347.172717
10627.83763,7142,13367.06302
9680.396267,7142,13386.749394
12126.620561,7142,13406.24711
10142.471644,7142,13426.116163
10586.175141,7142,13445.48631
10292.452336,7142,13464.685223
11925.783573,7142,13484.304936
11049.348839,7142,13503.509447
12371.527634,7142,13522.860322
11968.519776,7142,13542.442167
12284.30883,7142,13561.730507
10498.846621,7142,13581.348068
5528.088416,7142,13601.11491
9561.790985,7142,13620.475343
10149.862256,7142,13639.864129
11712.332048,7142,13659.499071
11342.55893,7142,13679.319233
8602.195244,7142,13698.742686
11266.415831,7142,13718.412907
2974.300529,7142,13738.257304
11729.213126,7142,13757.775117
9067.977306,7142,13777.286297
10856.981377,7142,13796.493852
8738.853394,7142,13815.950594
3402.765249,7142,13835.631162
11399.949111,7142,13855.041769
4963.05756,7142,13874.573867
11634.130769,7142,13893.849682
11081.934446,7142,13913.226522
12289.627579,7142,13932.667663
11539.916976,7142,13952.27559
9603.014738,7142,13972.217277
-3879.393923,7142,13991.951259
9679.033885,7142,14011.470535
8784.68101,7142,14030.927457
11808.219731,7142,14050.590801
2686.929913,7142,14070.083457
9299.072336,7142,14089.984338
11856.966199,7142,14109.32348
7346.2937,7142,14129.020378
9890.846624,7142,14148.386667
6591.138192,7142,14168.126987
11738.254708,7142,14187.715341
11467.533286,7142,14207.246476
12470.546435,7142,14226.776542
8896.734862,7142,14246.566194
12288.421513,7142,14265.93339
7996.043274,7142,14286.054449
12397.001022,7142,14305.534273
5733.406004,7142,14325.576038
12037.985911,7142,14345.100977
8893.624535,7142,14364.506388
11332.410455,7142,14384.084036
11532.435968,7142,14403.816436
11637.318262,7142,14423.348723
3451.84604,7142,14443.033952
10758.717648,7142,14462.727066
10885.567157,7142,14482.165863
11420.89367,7142,14501.508931
10199.414325,7142,14521.179091
12840.742569,7142,14540.537949
7620.869588,7142,14560.636249
10710.872525,7142,14579.998135
10378.594027,7142,14599.633186
12111.042672,7142,14619.435542
10075.322648,7142,14638.898575
7729.639998,7142,14658.649936
10981.605903,7142,14678.067588
12704.648602,7142,14697.616528
13204.123626,7142,14717.021894
12320.144932,7142,14736.478817
10062.351089,7142,14756.200565
8768.009454,7142,14775.900666
11063.361937,7142,14795.242292
11224.252984,7142,14814.590716
11160.437066,7142,14834.076808
5673.601109,7142,14853.926828
9327.077463,7142,14873.255829
5185.33145,7142,14893.137511
11531.974632,7142,14912.48462
12141.047664,7142,14931.959263
11478.904019,7142,14951.296494
12072.092284,7142,14970.771418
10305.561014,7142,14990.352075
11840.735966,7142,15009.748532
3156.662503,7142,15029.545035
10662.702512,7142,15048.964688
7912.176701,7142,15068.990283
8589.476969,7142,15088.666992
8092.797033,7142,15108.917216
9175.112273,7142,15128.539434
6189.861776,7142,15148.461979
10757.216195,7142,15167.855386
6799.011149,7142,15187.725518
11597.641364,7142,15207.662061
12127.272538,7142,15227.060394
10115.326007,7142,15246.406209
12752.741881,7142,15266.088266
11634.649094,7142,15285.544872
4934.488309,7142,15305.541419
9611.428108,7142,15325.344235
7347.037851,7142,15345.009007
2285.579102,7142,15364.961811
12706.851511,7142,15384.431835
